Website Review,,,,,
,,,,,
Page,Item,Changes to be made,Additional Notes,,Completed
Home Page,Vaarta 2026 . May 30,Chicago Indian Literature Festival,Under logo,,
Home Page,Varta 2026 begins in,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/register,Varta ,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/register,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/register,Varnam,Wildlife Photography & Visual Arts Festival,,,
https://www.chicagoindianarts.org/#events,"Varnam, Prasang, Varnam","Chicago Indian Literature Festival, Chicago Indian Fashion Week, Wildlife Photography & Visual Arts Festival",Sub header buttons,,
https://www.chicagoindianarts.org/#events,"VAARTA · LITERATURE 
Vaarta Literature Festival","Chicago Indian Literature Festival, Chicago Indian Literature Festival",Both to be changed under events,,
https://www.chicagoindianarts.org/#events,VAARTA · LITERATURE,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/#events,Vaarta Literature Festival,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/#events,Vaarta Literature Festival,Chicago Indian Literature Festival,Register Now Button - Pop Up,,
https://www.chicagoindianarts.org/#events,PRASANG · FASHION,,,,
https://www.chicagoindianarts.org/#events,Prasang Fashion Innovation Show,,,,
https://www.chicagoindianarts.org/#events,Prasang Fashion Innovation Show,,Register Now Button - Pop Up,,
https://www.chicagoindianarts.org/#events,,,,,
https://www.chicagoindianarts.org/vaarta,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/vaarta,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/vaarta,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/vaarta,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/prasang,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/prasang,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/prasang,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/prasang,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/prasang,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/varnam,Varnam,Wildlife Photography and Visual Arts Festival,,,
https://www.chicagoindianarts.org/varnam,Varnam,Wildlife Photography and Visual Arts Festival,,,
https://www.chicagoindianarts.org/varnam,Varnam,Wildlife Photography and Visual Arts Festival,,,
https://www.chicagoindianarts.org/varnam,Varnam,Wildlife Photography and Visual Arts Festival,,,
https://www.chicagoindianarts.org/about,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/about,Prasang,Chicago Indian Fashion Week,,,
https://www.chicagoindianarts.org/about,Varnam,Wildlife Photography and Visual Arts Festival,,,
https://www.chicagoindianarts.org/press-releases,"Vaarta, Prasang and Varnam",,,,
,,,,,
https://www.chicagoindianarts.org/contact,Common Questions ,,,,
,,,,,
https://www.chicagoindianarts.org/call-for-submissions,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/call-for-submissions,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/call-for-submissions,Vaarta,Chicago Indian Literature Festival,,,
https://www.chicagoindianarts.org/call-for-submissions,Vaarta,Chicago Indian Literature Festival,2 and 4th line,,
https://www.chicagoindianarts.org/call-for-submissions,Vaarta,Chicago Indian Literature Festival,,,
